date,k18,k21,k22,traditional,Log_Returns
2012-09-12,4214.057638410228,4915.679231434752,5146.14243845925,3188.2527863310556,0.002950446829985664
2012-09-13,4226.837760436075,4930.715244220407,5161.137223954874,3197.3022887453194,0.002834368623006337
2012-09-14,4238.9672830039835,4945.0308094098145,5175.3481031135125,3205.7693497758437,0.0026446888130184786
2012-09-15,4250.1275736724565,4958.250777753,5188.420540330205,3213.414932501209,0.0023821052658767605
2012-09-16,4260.0,4970.0,5200.0,3220.0,0.002047145992481379
2012-09-17,4268.332555636871,4979.9810005319605,5209.806349699671,3225.3376427935877,0.0016562806511060044
2012-09-18,4275.139738600315,4988.2069982545045,5217.857069732903,3229.449461174516,0.0012740370428584108
2012-09-19,4280.502672999333,4994.768885704377,5224.244043585114,3232.409182878117,0.0009160590082854496
2012-09-20,4284.502482942925,4999.757555418321,5229.059154741716,3234.290535639725,0.0005818587213194903
2012-09-21,4287.220292540088,5003.263899933077,5232.394286688123,3235.1672471946736,0.0002710309239954523
2012-09-22,4288.7372258998175,5005.37881178539,5234.341322909753,3235.113045278294,-1.675411695648715e-05
2012-09-23,4289.13440713112,5006.193183512002,5234.992146892022,3234.2016576259216,-0.00028175709491850854
2012-09-24,4288.492960342989,5005.79790764966,5234.438642120344,3232.5068119728903,-0.0005241756914836354
2012-09-25,4286.894009644427,5004.283876735103,5232.772692080135,3230.1022360545326,-0.0007441502376056395
2012-09-26,4284.418679144427,5001.741983305075,5230.086180256807,3227.0616576061816,-0.0009417690872203005
2012-09-27,4281.148092951995,4998.263119896321,5226.470990135777,3223.4588043631716,-0.0011170737737844097
2012-09-28,4277.163375176125,4993.938179045581,5222.019005202462,3219.367404060835,-0.0012700640122686908
2012-09-29,4272.545649925817,4988.8580532896,5216.822108942275,3214.861184434506,-0.0014007026020620528
2012-09-30,4267.37604131007,4983.11363516512,5210.97218484063,3210.013873219518,-0.0015089202797574366
2012-10-01,4261.735673437885,4976.795817208887,5204.561116382947,3204.8991981512045,-0.0015946205646794015
2012-10-02,4255.705670418257,4969.99549195764,5197.680787054636,3199.5908869648983,-0.0016576846341630385
2012-10-03,4249.3671563601865,4962.8035519481255,5190.423080341115,3194.162667395933,-0.0016979762597976885
2012-10-04,4242.801255372673,4955.310889717084,5182.879879727799,3188.6882671796425,-0.001715346830039709
