Date,Value,Rate_Log_Returns
2013-07-23,77.75,0.00025726781721511236
2013-07-24,77.7,-0.0006432936857417076
2013-07-25,77.72,0.00025736713563760986
2013-07-26,77.7,-0.00025736713563749347
2013-07-27,77.68333333333334,-0.00021452322296148412
2013-07-28,77.66666666666667,-0.00021456925304942485
2013-07-29,77.65,-0.00021461530289481332
2013-07-30,77.72,0.0009010749145432329
2013-07-31,77.7,-0.00025736713563749347
2013-08-01,77.67,-0.0003861749420458403
2013-08-02,77.65,-0.00025753283685986535
2013-08-03,77.67333333333333,0.00030044852898913796
2013-08-04,77.69666666666667,0.0003003582867833677
2013-08-05,77.72,0.0003002680987706958
2013-08-06,77.7,-0.00025736713563749347
2013-08-07,77.72,0.00025736713563760986
2013-08-08,77.7,-0.00025736713563749347
2013-08-09,77.68,-0.0002574333905322034
2013-08-10,77.69333333333334,0.00017162962369422628
2013-08-11,77.70666666666666,0.00017160017202106013
2013-08-12,77.72,0.00017157073045431705
2013-08-13,77.7,-0.00025736713563749347
2013-08-14,77.72,0.00025736713563760986
2013-08-15,77.7,-0.00025736713563749347
2013-08-16,77.7,0.0
2013-08-17,77.69333333333334,-8.580376683797722e-05
2013-08-18,77.68666666666667,-8.581112975630152e-05
2013-08-19,77.68,-8.581849393800021e-05
2013-08-20,76.9,-0.010091947471471208
2013-08-21,76.73,-0.0022131103220244188
2013-08-22,76.6,-0.0016956894430283306
2013-08-23,76.6,0.0
2013-08-24,76.7,0.0013046316266649492
2013-08-25,76.8,0.00130293178041584
2013-08-26,76.9,0.0013012363579719556
2013-08-27,77.22,0.004152614324492023
2013-08-28,77.22,0.0
2013-08-29,77.22,0.0
2013-08-30,77.22,0.0
2013-08-31,77.38666666666667,0.0021560096316778983
2013-09-01,77.55333333333333,0.002151371252742514
2013-09-02,77.72,0.0021467527887287724
2013-09-03,77.22,-0.00645413367314908
2013-09-04,77.22,0.0
2013-09-05,77.22,0.0
2013-09-06,76.85,-0.0048030208514854445
2013-09-07,76.85,0.0
2013-09-08,76.85,0.0
2013-09-09,76.85,0.0
2013-09-10,77.22,0.004803020851485579
2013-09-11,77.22,0.0
2013-09-12,77.22,0.0
2013-09-13,77.22,0.0
2013-09-14,77.22,0.0
2013-09-15,77.22,0.0
2013-09-16,77.22,0.0
2013-09-17,77.22,0.0
2013-09-18,77.22,0.0
2013-09-19,77.22,0.0
2013-09-20,77.22,0.0
2013-09-21,77.22,0.0
2013-09-22,77.22,0.0
2013-09-23,77.22,0.0
2013-09-24,77.22,0.0
2013-09-25,77.22,0.0
2013-09-26,77.72,0.006454133673149106
2013-09-27,77.22,-0.00645413367314908
2013-09-28,77.22,0.0
2013-09-29,77.22,0.0
2013-09-30,77.22,0.0
2013-10-01,77.72,0.006454133673149106
2013-10-02,77.72,0.0
2013-10-03,77.24,-0.006195166948925659
2013-10-04,77.22,-0.0002589667242233899
2013-10-05,77.22,0.0
2013-10-06,77.22,0.0
2013-10-07,77.22,0.0
2013-10-08,77.22,0.0
2013-10-09,77.22,0.0
2013-10-10,77.22,0.0
2013-10-11,77.72,0.006454133673149106
2013-10-12,77.72,0.0
2013-10-13,77.72,0.0
2013-10-14,77.72,0.0
2013-10-15,77.72,0.0
2013-10-16,77.72,0.0
2013-10-17,77.72,0.0
2013-10-18,77.72,0.0
2013-10-19,77.55333333333333,-0.00214675278872874
2013-10-20,77.38666666666667,-0.0021513712527424828
2013-10-21,77.22,-0.002156009631677843
2013-10-22,77.22,0.0
2013-10-23,77.65,0.005553058758605955
2013-10-24,77.57,-0.001030795091916035
2013-10-25,77.57,0.0
2013-10-26,77.40333333333332,-0.0021509085122902298
2013-10-27,77.23666666666666,-0.0021555448939423057
2013-10-28,77.07,-0.002160201306645771
2013-10-29,77.07,0.0
2013-10-30,77.07,0.0
2013-10-31,77.07,0.0
2013-11-01,77.07,0.0
2013-11-02,77.22999999999999,0.00207388279127057
2013-11-03,77.39,0.0020695907011954156
2013-11-04,77.55,0.0020653163401799504
2013-11-05,77.53,-0.00025793139168008754
2013-11-06,77.58,0.0006447037809534547
2013-11-07,77.58,0.0
2013-11-08,77.55,-0.00038677238927331314
2013-11-09,77.55,0.0
2013-11-10,77.55,0.0
2013-11-11,77.55,0.0
2013-11-12,77.55,0.0
2013-11-13,77.58,0.0003867723892733139
2013-11-14,77.58,0.0
2013-11-15,77.53,-0.0006447037809534372
2013-11-16,77.53,0.0
2013-11-17,77.53,0.0
2013-11-18,77.53,0.0
2013-11-19,77.5,-0.0003870218715663137
2013-11-20,77.52,0.0002580312232094237
2013-11-21,77.54,0.0002579646602724276
2013-11-22,77.55,0.0001289573797645466
2013-11-23,77.55,0.0
2013-11-24,77.55,0.0
2013-11-25,77.55,0.0
2013-11-26,77.55,0.0
2013-11-27,77.55,0.0
2013-11-28,77.55,0.0
2013-11-29,77.55,0.0
2013-11-30,77.54333333333334,-8.596973870491308e-05
2013-12-01,77.53666666666666,-8.597713013643876e-05
2013-12-02,77.53,-8.598452283877859e-05
2013-12-03,77.52,-0.0001289906483569243
2013-12-04,77.57,0.000644786920269467
2013-12-05,77.52,-0.0006447869202693665
2013-12-06,77.52,0.0
2013-12-07,77.53666666666666,0.00021497517119567434
2013-12-08,77.55333333333333,0.00021492896680410406
2013-12-09,77.57,0.0002148827822695753
2013-12-10,77.55,-0.0002578648802323854
2013-12-11,77.54,-0.00012895737976465954
2013-12-12,77.55,0.0001289573797645466
2013-12-13,77.54,-0.00012895737976465954
2013-12-14,77.52666666666667,-0.00017196904599561658
2013-12-15,77.51333333333334,-0.0001719986244350703
2013-12-16,77.5,-0.00017202821305112203
2013-12-17,77.52,0.0002580312232094237
2013-12-18,77.53,0.00012899064835682344
2013-12-19,77.52,-0.0001289906483569243
2013-12-20,77.55,0.0003869220400371524
2013-12-21,77.54333333333334,-8.596973870491308e-05
2013-12-22,77.53666666666666,-8.597713013643876e-05
2013-12-23,77.53,-8.598452283877859e-05
2013-12-24,77.18,-0.00452460212139491
2013-12-25,77.18,0.0
2013-12-26,77.15,-0.0003887773003028537
2013-12-27,77.1,-0.0006482982398861817
2013-12-28,77.12666666666667,0.00034581136334934027
2013-12-29,77.15333333333334,0.0003456918191889012
2013-12-30,77.18,0.0003455723576508174
2013-12-31,77.16,-0.00025916807194448026
2014-01-01,77.16,0.0
2014-01-02,77.15,-0.00012960922835841723
2014-01-03,77.12,-0.0003889285068797119
2014-01-04,77.26333333333334,0.001856850366185793
2014-01-05,77.40666666666667,0.0018534088622742812
2014-01-06,77.55,0.0018499800917973692
2014-01-07,77.17,-0.004912109153036096
2014-01-08,77.7,0.006844476904089992
2014-01-09,77.7,0.0
2014-01-10,77.7,0.0
2014-01-11,77.52333333333334,-0.0022762910595469183
2014-01-12,77.34666666666666,-0.002281484384301106
2014-01-13,77.17,-0.0022867014602421546
2014-01-14,77.53,0.004654177761356001
2014-01-15,77.61,0.0010313266351798826
2014-01-16,77.15,-0.005944706056877474
2014-01-17,77.53,0.004913379421697725
2014-01-18,77.41666666666667,-0.001462869205029444
2014-01-19,77.30333333333333,-0.0014650123268301876
2014-01-20,77.19,-0.0014671617372455923
2014-01-21,77.15,-0.0005183361525924884
2014-01-22,77.18,0.0003887773003027801
2014-01-23,77.52,0.004395611473037908
2014-01-24,77.48,-0.0005161290437155219
2014-01-25,77.38000000000001,-0.0012914892664282
2014-01-26,77.28,-0.0012931593681044997
2014-01-27,77.18,-0.0012948337947898026
2014-01-28,77.5,0.004137580249828425
2014-01-29,77.52,0.0002580312232094237
2014-01-30,77.53,0.00012899064835682344
2014-01-31,77.52,-0.0001289906483569243
2014-02-01,77.52666666666667,8.59956142768695e-05
2014-02-02,77.53333333333333,8.598821966680238e-05
2014-02-03,77.54,8.598082632888679e-05
2014-02-04,77.52,-0.0002579646602724043
2014-02-05,77.5,-0.0002580312232094097
2014-02-06,77.5,0.0
2014-02-07,77.52,0.0002580312232094237
2014-02-08,77.52,0.0
2014-02-09,77.52,0.0
2014-02-10,77.52,0.0
2014-02-11,77.17,-0.004525187112999091
2014-02-12,77.6,0.00555664671966133
2014-02-13,77.17,-0.005556646719661256
2014-02-14,77.5,0.004267155889789603
2014-02-15,77.5,0.0
2014-02-16,77.5,0.0
2014-02-17,77.5,0.0
2014-02-18,77.55,0.0006449532632463751
2014-02-19,77.57,0.0002578648802324062
2014-02-20,77.48,-0.001160915963984919
2014-02-21,77.46,-0.0002581644521891018
2014-02-22,77.45666666666666,-4.303388919433887e-05
2014-02-23,77.45333333333333,-4.3035741189658284e-05
2014-02-24,77.45,-4.3037593344416014e-05
2014-02-25,77.43,-0.0002582644642453961
2014-02-26,77.42,-0.00012915724913017788
2014-02-27,77.37,-0.0006460365881389595
2014-02-28,77.37,0.0
2014-03-01,77.35666666666667,-0.00017234693480554082
2014-03-02,77.34333333333333,-0.00017237664339174477
2014-03-03,77.33,-0.00017240636222184941
2014-03-04,77.72,0.005030645888295202
2014-03-05,77.65,-0.000901074914543178
2014-03-06,77.63,-0.0002575991771072862
2014-03-07,77.62,-0.00012882447682864478
2014-03-08,77.60333333333334,-0.00021474434768027831
2014-03-09,77.58666666666666,-0.00021479047272063607
2014-03-10,77.57,-0.00021483661757930802
2014-03-11,77.55,-0.0002578648802323854
2014-03-12,77.5,-0.000644953263246458
2014-03-13,77.47,-0.0003871717154901828
2014-03-14,77.43,-0.000516462245178913
2014-03-15,77.42,-0.00012915724913017788
2014-03-16,77.41000000000001,-0.0001291739328798883
2014-03-17,77.4,-0.00012919062094065282
2014-03-18,77.62,0.002838345345078702
2014-03-19,77.62,0.0
2014-03-20,77.58,-0.0005154639289391776
2014-03-21,77.53,-0.0006447037809534372
2014-03-22,77.50333333333333,-0.0003440120438140959
2014-03-23,77.47666666666667,-0.0003441304288272258
2014-03-24,77.45,-0.00034424889534858733
2014-03-25,77.47,0.00025819778093346345
2014-03-26,77.43,-0.000516462245178913
2014-03-27,77.4,-0.0003875218029507505
2014-03-28,77.37,-0.0003876720343183757
2014-03-29,77.42666666666668,0.0007321432743764465
2014-03-30,77.48333333333333,0.0007316076327444403
2014-03-31,77.54,0.0007310727742991422
2014-04-01,77.52,-0.0002579646602724043
2014-04-02,77.52,0.0
2014-04-03,77.48,-0.0005161290437155219
2014-04-04,77.47,-0.00012907389498402727
2014-04-05,77.45666666666666,-0.00017212444639938063
2014-04-06,77.44333333333334,-0.0001721540783247527
2014-04-07,77.43,-0.00017218372045470998
2014-04-08,77.52,0.0011616651838783612
2014-04-09,77.52,0.0
2014-04-10,77.5,-0.0002580312232094097
2014-04-11,77.47,-0.0003871717154901828
2014-04-12,77.46333333333334,-8.605851984645281e-05
